frame_number,timestamp,head_pitch,head_yaw,head_roll,inBrL,otBrL,inBrR,otBrR,EyeOL,EyeOR,oLipH,iLipH,LipCDt,dicCoeff_local0,dicCoeff_local1,dicCoeff_local2,dicCoeff_local3,dicCoeff_local4,dicCoeff_local5,dicCoeff_local6,dicCoeff_local7,dicCoeff_local8,dicCoeff_local9,dicCoeff_local10,dicCoeff_local11,dicCoeff_local12,dicCoeff_local13,dicCoeff_local14,dicCoeff_local15,dicCoeff_local16,dicCoeff_local17,dicCoeff_local18,dicCoeff_local19,dicCoeff_local20,dicCoeff_local21,dicCoeff_local22,dicCoeff_local23
73,7.3,165.36,165.85,179.19,0.6604,0.6455,0.6553,0.6462,0.1619,0.1397,0.001,0.0007,0.0667,0.001284,0.014404,0.000764,0.001512,0.013661,0.001302,0.003329,0.01191,0.000888,0.000943,0.011841,0.001243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,7.4,165.73,164.76,179.68,0.658,0.6446,0.6562,0.6457,0.1641,0.1409,0.0002,0.0002,0.0683,0.00129,0.013961,0.000758,0.001534,0.013357,0.001285,0.003354,0.011511,0.000891,0.000918,0.011391,0.001266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,7.5,165.28,163.23,179.74,0.657,0.6423,0.6552,0.6456,0.1587,0.1302,0.0007,0.0005,0.0687,0.00128,0.013957,0.000855,0.001559,0.013252,0.001423,0.003348,0.011455,0.000974,0.000928,0.01135,0.001391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,7.6,166.15,161.62,179.73,0.6558,0.6414,0.6543,0.6426,0.1627,0.1312,0.0004,0.0003,0.0689,0.001306,0.013506,0.000774,0.001605,0.013142,0.001279,0.003359,0.011253,0.000906,0.000899,0.01114,0.00131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,7.7,166.61,160.35,179.68,0.6551,0.6396,0.6531,0.6415,0.1643,0.1384,0.0003,0.0002,0.0669,0.001306,0.013862,0.000795,0.001621,0.013321,0.001307,0.003351,0.011434,0.000922,0.0009,0.011324,0.001348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,7.8,166.89,161.13,-179.98,0.6538,0.6386,0.6534,0.6425,0.1727,0.1347,0.0003,0.0002,0.0686,0.001334,0.014136,0.000736,0.001629,0.013559,0.001238,0.003405,0.011592,0.000907,0.0009,0.011509,0.00133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,7.9,167.49,162.57,179.69,0.6527,0.638,0.6542,0.6427,0.1665,0.137,0.0005,0.0003,0.0679,0.001364,0.014092,0.000748,0.001636,0.013479,0.001251,0.00342,0.011477,0.000914,0.000887,0.011478,0.001329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,8.0,168.07,162.79,-179.85,0.654,0.6393,0.656,0.6445,0.1679,0.1378,0.0013,0.0009,0.0712,0.00135,0.014131,0.000753,0.001646,0.013705,0.001256,0.003434,0.011544,0.000931,0.000893,0.011458,0.001358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,8.1,167.24,161.64,-179.95,0.6548,0.6412,0.658,0.6471,0.172,0.1422,0.0006,0.0004,0.0716,0.001411,0.013952,0.000725,0.001696,0.013528,0.001204,0.003415,0.011446,0.000918,0.000856,0.011313,0.001353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,8.2,166.54,162.43,179.81,0.662,0.6481,0.6618,0.652,0.1619,0.138,0.0005,0.0003,0.0705,0.001385,0.014184,0.000749,0.001688,0.013597,0.001242,0.003418,0.011589,0.00093,0.000872,0.011518,0.001371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,8.3,165.1,162.95,179.46,0.6679,0.6519,0.6655,0.6555,0.1671,0.1315,0.0012,0.0008,0.0707,0.001375,0.014443,0.000834,0.001683,0.013855,0.001363,0.00335,0.011986,0.000976,0.000855,0.011787,0.001434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,8.4,166.1,161.05,179.41,0.6744,0.6585,0.6702,0.6594,0.167,0.1291,0.0003,0.0002,0.07,0.001381,0.014433,0.000772,0.001708,0.013817,0.001258,0.003354,0.011896,0.000936,0.000839,0.011797,0.001387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,8.5,164.9,160.13,179.83,0.6763,0.6625,0.6752,0.6633,0.17,0.134,0.0005,0.0004,0.0679,0.00134,0.014501,0.000734,0.001717,0.013844,0.001183,0.003356,0.011883,0.000917,0.000839,0.011806,0.001365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,8.6,166.62,161.41,179.28,0.6798,0.6661,0.676,0.6642,0.1598,0.1362,0.0022,0.0016,0.0689,0.001348,0.014389,0.000688,0.001674,0.013696,0.001136,0.003363,0.011709,0.000885,0.000832,0.011801,0.001315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,8.7,165.99,160.12,179.64,0.681,0.6667,0.6779,0.6653,0.1665,0.129,0.0009,0.0006,0.0681,0.001409,0.014387,0.000722,0.001715,0.013658,0.001172,0.003371,0.011712,0.000911,0.000815,0.011686,0.001362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,8.8,164.75,159.05,179.14,0.6835,0.6696,0.6781,0.6669,0.1692,0.1332,0.0001,0.0001,0.0681,0.001356,0.01424,0.000774,0.001693,0.013576,0.001232,0.003338,0.011808,0.00094,0.00082,0.01173,0.001404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,8.9,163.58,161.18,179.3,0.6805,0.6676,0.6788,0.6678,0.1663,0.1352,0.0002,0.0001,0.0671,0.001362,0.014266,0.000772,0.001674,0.013495,0.00125,0.003327,0.011731,0.000926,0.000808,0.0117,0.001378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,9.0,165.62,159.19,179.34,0.678,0.6639,0.6776,0.6671,0.1692,0.1337,0.0001,0.0001,0.0636,0.001384,0.014224,0.000795,0.001719,0.013379,0.001256,0.003309,0.011548,0.000947,0.000808,0.011579,0.001416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,9.1,164.01,159.69,179.83,0.6745,0.6625,0.6741,0.6632,0.1697,0.1346,0.0002,0.0001,0.0645,0.001322,0.014321,0.000799,0.001652,0.01359,0.001275,0.003242,0.011779,0.000918,0.000827,0.011706,0.001367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,9.2,164.5,165.23,179.97,0.6641,0.6507,0.6631,0.6522,0.1513,0.1323,0.0003,0.0002,0.0647,0.00122,0.014007,0.000873,0.001521,0.013296,0.001458,0.003329,0.011496,0.000977,0.000911,0.011435,0.001398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,9.3,167.67,170.08,-177.93,0.6321,0.6193,0.6394,0.6253,0.1376,0.1202,0.0005,0.0003,0.0652,0.001064,0.013592,0.000668,0.001354,0.013156,0.001154,0.003297,0.010925,0.000816,0.001043,0.010978,0.001133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,9.4,168.52,173.15,-178.07,0.602,0.5878,0.6101,0.5953,0.1366,0.1242,0.0002,0.0002,0.0699,0.000975,0.013097,0.000563,0.001224,0.012971,0.000979,0.00319,0.010653,0.000705,0.001028,0.010801,0.000925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,9.5,174.41,171.21,-178.58,0.5826,0.5662,0.5876,0.5726,0.1451,0.1238,0.0112,0.0079,0.0746,0.001052,0.012787,0.000478,0.00129,0.012914,0.000807,0.003124,0.010305,0.000684,0.000935,0.010633,0.000923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,9.6,176.31,170.54,-177.7,0.5669,0.5514,0.5774,0.5611,0.1537,0.1206,0.0006,0.0004,0.0724,0.001052,0.01232,0.00047,0.001284,0.012717,0.000788,0.003072,0.009864,0.000681,0.000899,0.010152,0.000911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,9.7,-179.77,170.81,-178.14,0.5572,0.5401,0.5687,0.5502,0.148,0.1186,0.0089,0.0062,0.0778,0.001081,0.012973,0.000471,0.001283,0.012906,0.000767,0.003118,0.009933,0.000696,0.00088,0.010532,0.000912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,9.8,-175.6,171.8,-178.21,0.5516,0.5337,0.5633,0.5438,0.1538,0.1229,0.0088,0.0062,0.0717,0.00102,0.012409,0.000469,0.001238,0.01253,0.000719,0.003063,0.009464,0.000683,0.000901,0.010125,0.000858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,9.9,-176.87,172.23,-179.02,0.5509,0.5322,0.5577,0.5381,0.1423,0.1198,0.0029,0.002,0.0742,0.001058,0.011606,0.000464,0.001212,0.012095,0.000711,0.003,0.009292,0.000666,0.000882,0.009758,0.000831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,10.0,-176.8,173.04,-179.69,0.5497,0.5307,0.5496,0.5314,0.1338,0.1252,0.0015,0.001,0.0724,0.001043,0.011461,0.000475,0.001187,0.012026,0.000729,0.002968,0.009323,0.000652,0.000897,0.009735,0.000793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,10.1,-176.4,172.47,179.98,0.548,0.5282,0.5471,0.5293,0.1469,0.1306,0.0003,0.0002,0.0688,0.001118,0.011348,0.000468,0.001199,0.01197,0.000708,0.002936,0.009524,0.000645,0.000898,0.009877,0.000782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,10.2,-176.53,174.73,-179.54,0.5454,0.5269,0.5501,0.5319,0.1523,0.1344,0.0019,0.0014,0.0712,0.001062,0.012023,0.0005,0.001151,0.01247,0.000769,0.002986,0.00977,0.000671,0.00091,0.010343,0.000802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,10.3,-175.75,173.46,-179.16,0.5439,0.525,0.5485,0.5302,0.1516,0.1347,0.0004,0.0003,0.072,0.00105,0.011631,0.000493,0.001183,0.012306,0.000722,0.003013,0.009508,0.000679,0.00092,0.010009,0.000815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,10.4,-174.92,171.39,-179.83,0.544,0.5237,0.5465,0.5283,0.149,0.1281,0.0023,0.0016,0.0723,0.001086,0.011777,0.000468,0.001236,0.012247,0.000685,0.002959,0.009447,0.000682,0.000883,0.009964,0.000843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,10.5,-175.24,170.73,-179.38,0.5447,0.5245,0.5497,0.5305,0.1548,0.1198,0.0003,0.0002,0.0681,0.001067,0.011738,0.000436,0.001203,0.012228,0.000647,0.002843,0.009517,0.000635,0.000846,0.009918,0.000787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,10.6,-176.53,170.98,-179.73,0.5462,0.5255,0.5481,0.5293,0.1465,0.1357,0.0074,0.0052,0.0717,0.001064,0.012107,0.000443,0.001212,0.012422,0.000669,0.002909,0.009631,0.000664,0.000847,0.010142,0.000837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,10.7,-176.68,173.25,179.88,0.547,0.526,0.5462,0.5269,0.1479,0.1271,0.0022,0.0015,0.0755,0.001129,0.012035,0.000483,0.001213,0.012423,0.000735,0.002961,0.00968,0.000688,0.000862,0.010136,0.000851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,10.8,-175.33,173.33,179.69,0.5456,0.5255,0.5443,0.5258,0.1466,0.1332,0.0198,0.0139,0.0834,0.001076,0.012038,0.00051,0.001198,0.012539,0.000764,0.003014,0.009593,0.000715,0.000878,0.010285,0.000871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,10.9,-173.74,172.94,179.98,0.5459,0.5264,0.5453,0.5266,0.1528,0.131,0.0255,0.0178,0.0789,0.00109,0.012413,0.000484,0.001194,0.012671,0.000713,0.002927,0.009624,0.000685,0.000851,0.010398,0.000832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,11.0,-176.53,171.78,179.91,0.549,0.5288,0.5491,0.5306,0.1513,0.1295,0.0003,0.0002,0.073,0.001108,0.011256,0.000468,0.001199,0.011987,0.00071,0.002906,0.009422,0.00067,0.000866,0.009713,0.000833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,11.1,-174.69,173.55,-179.59,0.5455,0.5266,0.5493,0.5301,0.153,0.1225,0.0004,0.0003,0.0692,0.000983,0.011234,0.000476,0.001131,0.011724,0.000687,0.002887,0.009181,0.00066,0.00091,0.009562,0.000794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,11.2,-174.95,171.39,-179.88,0.5457,0.5249,0.546,0.5275,0.1535,0.1287,0.0065,0.0045,0.0793,0.001053,0.012063,0.000469,0.001177,0.012431,0.000706,0.002904,0.009665,0.000678,0.000847,0.010197,0.000841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,11.3,-173.4,172.86,-179.43,0.5458,0.5246,0.5478,0.5281,0.1501,0.1276,0.0005,0.0004,0.0695,0.001004,0.011789,0.000464,0.001122,0.012187,0.000646,0.002862,0.009554,0.000647,0.000878,0.01,0.000775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,11.4,-173.77,171.96,-179.74,0.5475,0.5274,0.5495,0.5304,0.1507,0.127,0.0021,0.0015,0.0735,0.001046,0.012426,0.000472,0.001183,0.012498,0.000713,0.002892,0.00968,0.000684,0.000837,0.010259,0.000849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,11.5,-175.83,171.23,-179.44,0.5481,0.528,0.5522,0.5323,0.1492,0.1269,0.0011,0.0008,0.0713,0.001105,0.012016,0.000438,0.001222,0.012451,0.000648,0.002883,0.009711,0.000681,0.000815,0.010096,0.000866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,11.6,-175.94,170.64,-179.52,0.551,0.5311,0.5543,0.5358,0.152,0.1379,0.0009,0.0006,0.073,0.001076,0.011957,0.000435,0.001232,0.012305,0.000649,0.002898,0.009678,0.000681,0.000817,0.010087,0.000873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,11.7,-177.23,170.32,-179.43,0.5526,0.5332,0.5568,0.5377,0.1451,0.1371,0.0002,0.0001,0.0746,0.001131,0.011799,0.00044,0.001279,0.012232,0.000659,0.002947,0.009592,0.000711,0.000803,0.009891,0.000918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,11.8,-176.53,169.82,-179.88,0.5562,0.5363,0.5598,0.5411,0.1448,0.1408,0.0006,0.0004,0.0713,0.001188,0.012015,0.00043,0.001304,0.012367,0.000643,0.002908,0.009739,0.000703,0.000783,0.010109,0.000911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,11.9,-176.7,170.63,179.55,0.5618,0.5415,0.5608,0.5429,0.1413,0.1487,0.0048,0.0034,0.0736,0.001149,0.012006,0.000442,0.001298,0.01234,0.000667,0.002931,0.009725,0.000705,0.000807,0.010144,0.000911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,12.0,-178.9,170.05,179.8,0.5654,0.5453,0.568,0.5505,0.1401,0.1341,0.0003,0.0002,0.0735,0.001186,0.011794,0.000431,0.001326,0.012378,0.000674,0.00296,0.009723,0.000695,0.000805,0.009973,0.000916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,12.1,179.51,167.04,179.67,0.5746,0.5545,0.5735,0.5575,0.1558,0.1351,0.0004,0.0003,0.071,0.001242,0.012323,0.000417,0.001388,0.012759,0.000682,0.002922,0.010239,0.000684,0.000778,0.010403,0.000933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,12.2,178.0,168.4,179.52,0.5872,0.5677,0.5854,0.5698,0.1478,0.1316,0.0021,0.0015,0.0703,0.001217,0.01243,0.000478,0.001382,0.012785,0.000813,0.002998,0.010299,0.000721,0.00082,0.01046,0.000991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,12.3,177.72,165.73,178.16,0.5727,0.5522,0.5639,0.5483,0.1473,0.1352,0.0028,0.002,0.0726,0.001159,0.012552,0.000419,0.00135,0.012854,0.000694,0.002819,0.01054,0.000645,0.000779,0.010713,0.000884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,12.4,-174.9,164.26,178.8,0.5514,0.5287,0.5488,0.5302,0.1476,0.1177,0.0003,0.0002,0.0773,0.001275,0.012379,0.000356,0.00143,0.012795,0.000535,0.002852,0.010085,0.000722,0.000717,0.010278,0.000966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,12.5,-175.28,166.91,178.62,0.5481,0.5247,0.5444,0.5247,0.1416,0.1256,0.0004,0.0003,0.0772,0.001321,0.012301,0.000409,0.001422,0.012848,0.000607,0.002927,0.010204,0.000752,0.00076,0.010352,0.000991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,12.6,-173.06,167.85,178.1,0.5536,0.5305,0.5462,0.5266,0.1445,0.1345,0.0004,0.0003,0.0739,0.001245,0.011891,0.000415,0.001353,0.012572,0.000601,0.002841,0.009981,0.000725,0.000767,0.010199,0.000938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,12.7,-173.4,169.06,178.08,0.555,0.5314,0.5478,0.5279,0.1415,0.1305,0.0004,0.0003,0.0702,0.001223,0.011793,0.000413,0.001329,0.012292,0.000599,0.002874,0.009849,0.000703,0.000795,0.010116,0.000908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,12.8,-173.94,169.81,178.75,0.5539,0.5311,0.5481,0.5284,0.1384,0.1322,0.0006,0.0004,0.0729,0.001167,0.011942,0.000445,0.001298,0.01237,0.000644,0.002885,0.009857,0.000716,0.00083,0.010144,0.000912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,12.9,-173.92,168.15,179.19,0.5516,0.5289,0.5502,0.5298,0.1346,0.1239,0.0003,0.0002,0.073,0.001206,0.011693,0.000429,0.001345,0.012253,0.000622,0.002924,0.009684,0.000725,0.000817,0.009959,0.000937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,13.0,-174.75,167.98,179.68,0.5504,0.5281,0.5528,0.5324,0.1361,0.1137,0.0002,0.0002,0.0733,0.001248,0.011638,0.000414,0.001372,0.012215,0.000594,0.002956,0.009555,0.000728,0.000785,0.009874,0.000943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,13.1,-174.89,167.69,179.23,0.55,0.5294,0.5504,0.5317,0.1309,0.1219,0.0006,0.0004,0.072,0.001168,0.011676,0.000393,0.001353,0.011957,0.000587,0.002898,0.009382,0.000696,0.000776,0.009765,0.000916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,13.2,-175.51,163.91,179.88,0.5501,0.5278,0.5509,0.5309,0.1392,0.1233,0.0009,0.0007,0.0721,0.001249,0.011394,0.00036,0.001414,0.011824,0.000531,0.002863,0.009239,0.000719,0.000726,0.009471,0.000957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,13.3,-178.15,162.09,-179.36,0.5493,0.5282,0.5545,0.5334,0.1458,0.1241,0.0047,0.0033,0.073,0.001231,0.011838,0.000343,0.001421,0.012135,0.00054,0.002843,0.009418,0.000716,0.000701,0.009686,0.000981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,13.4,-176.9,161.33,-179.78,0.5524,0.5305,0.5541,0.5345,0.1444,0.1257,0.0287,0.0201,0.0792,0.001338,0.012323,0.000358,0.001477,0.012386,0.000568,0.002857,0.009499,0.00073,0.000648,0.009982,0.001004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,13.5,-178.67,162.04,-179.73,0.5506,0.528,0.5543,0.5352,0.1399,0.128,0.0265,0.0185,0.0813,0.00128,0.012083,0.000379,0.00148,0.01237,0.000606,0.002905,0.009466,0.000765,0.000673,0.009903,0.001055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,13.6,-176.9,162.95,-179.31,0.5471,0.5266,0.5515,0.5313,0.1358,0.1336,0.0205,0.0144,0.0807,0.001226,0.011816,0.000367,0.001445,0.012156,0.000566,0.002907,0.009204,0.000744,0.000696,0.009682,0.00101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,13.7,-178.11,162.98,-179.35,0.5449,0.5249,0.5511,0.5308,0.1364,0.1305,0.0136,0.0095,0.0791,0.001208,0.011401,0.000364,0.001402,0.011872,0.000572,0.002857,0.009067,0.000727,0.0007,0.009409,0.000993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,13.8,-177.05,164.84,-179.09,0.5415,0.5224,0.5499,0.5303,0.1305,0.1246,0.0006,0.0004,0.0705,0.001113,0.011559,0.000366,0.001329,0.011827,0.000563,0.002823,0.009118,0.000697,0.000739,0.009491,0.000935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,13.9,-179.19,163.36,-179.72,0.5398,0.5207,0.5465,0.5282,0.1307,0.128,0.0006,0.0004,0.068,0.001151,0.011419,0.000363,0.001333,0.011416,0.000588,0.002772,0.009061,0.000674,0.000709,0.00935,0.000927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,14.0,178.51,163.66,-179.87,0.5354,0.5163,0.5408,0.5226,0.15,0.1254,0.0005,0.0004,0.0684,0.001146,0.011208,0.000354,0.001338,0.011349,0.000579,0.002745,0.009049,0.000671,0.000704,0.009215,0.000935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,14.1,175.89,161.8,-179.98,0.5301,0.5107,0.5331,0.514,0.1524,0.1257,0.002,0.0014,0.0663,0.001219,0.010961,0.000366,0.001407,0.011162,0.000624,0.002737,0.009113,0.000672,0.000683,0.008957,0.000961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,14.2,-177.97,160.84,179.84,0.5185,0.4981,0.5179,0.4978,0.1571,0.1375,0.0004,0.0003,0.0708,0.001258,0.011335,0.000313,0.001385,0.011639,0.000493,0.002686,0.009276,0.000649,0.00065,0.009269,0.000891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,14.3,-172.09,163.29,179.88,0.5152,0.4933,0.5152,0.4926,0.1504,0.1259,0.0021,0.0015,0.0703,0.001227,0.011003,0.000319,0.001344,0.011589,0.000463,0.002616,0.009013,0.000678,0.000651,0.009161,0.000903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,14.4,-171.23,164.71,-179.97,0.5162,0.4939,0.5205,0.4983,0.144,0.123,0.0003,0.0002,0.0686,0.001219,0.010705,0.00035,0.001327,0.011685,0.000479,0.002665,0.008866,0.000717,0.000667,0.009141,0.000931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,14.5,-172.98,167.68,179.99,0.5165,0.4948,0.5191,0.4989,0.1359,0.1295,0.0002,0.0001,0.0724,0.001189,0.009929,0.000387,0.001299,0.011054,0.000545,0.002751,0.008416,0.000716,0.000716,0.008542,0.000928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,14.6,-171.41,168.4,179.97,0.5129,0.4915,0.5161,0.4946,0.1286,0.1142,0.0007,0.0005,0.0759,0.001155,0.00983,0.000402,0.001252,0.010801,0.000545,0.002744,0.008138,0.000719,0.000727,0.008415,0.000914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
